in_layer | layer1 | layer2 | layer3 | layer4 | out_layer
M5 | M3 | M5 | M5 | M5 | M3
M5 | M4 | M4 | M3 | M3 | M4
M4 | M5 | M5 | M3 | M5 | M5
M5 | M5 | M5 | M4 | M3 | M5
M4 | M3 | M5 | M3 | M4 | M3
M5 | M3 | M3 | M3 | M3 | M3
M3 | M3 | M4 | M5 | M5 | M3
M3 | M5 | M4 | M4 | M5 | M4
M4 | M5 | M4 | M4 | M3 | M3
M5 | M5 | M4 | M4 | M5 | M4
M3 | M3 | M4 | M4 | M3 | M5
M5 | M3 | M4 | M3 | M4 | M5
M5 | M5 | M5 | M3 | M4 | M5
M3 | M3 | M4 | M3 | M3 | M4
M3 | M3 | M5 | M3 | M4 | M5
M4 | M5 | M4 | M5 | M3 | M3
M5 | M4 | M3 | M5 | M3 | M5
M5 | M4 | M4 | M5 | M4 | M3
M4 | M3 | M4 | M3 | M4 | M4
M4 | M5 | M4 | M3 | M5 | M5
M5 | M3 | M3 | M5 | M4 | M4
M3 | M3 | M3 | M3 | M5 | M5
M5 | M3 | M4 | M3 | M5 | M5
M4 | M3 | M5 | M5 | M3 | M4
M5 | M5 | M3 | M3 | M4 | M4
M5 | M4 | M5 | M4 | M5 | M3
M5 | M3 | M4 | M5 | M5 | M3
M5 | M4 | M3 | M4 | M5 | M3
M4 | M3 | M4 | M4 | M3 | M4
M3 | M5 | M3 | M5 | M4 | M4
