in_layer | layer1 | layer2 | layer3 | layer4 | out_layer
C3 | C5 | C3 | C5 | C3 | C4
C3 | C3 | C4 | C4 | C5 | C3
C5 | C4 | C4 | C5 | C3 | C5
C5 | C3 | C3 | C3 | C4 | C3
C4 | C4 | C4 | C3 | C5 | C5
C3 | C5 | C3 | C5 | C4 | C4
C3 | C4 | C5 | C3 | C3 | C5
C4 | C5 | C4 | C4 | C3 | C3
C5 | C3 | C4 | C3 | C4 | C4
C4 | C3 | C5 | C5 | C3 | C5
C5 | C4 | C3 | C5 | C5 | C3
C3 | C5 | C5 | C4 | C5 | C4
C3 | C4 | C4 | C3 | C4 | C3
C5 | C5 | C5 | C4 | C4 | C4
C4 | C5 | C3 | C5 | C5 | C3
C5 | C3 | C4 | C5 | C4 | C3
C3 | C4 | C5 | C4 | C3 | C4
C3 | C5 | C3 | C3 | C5 | C5
C5 | C5 | C4 | C5 | C5 | C4
C3 | C5 | C4 | C5 | C3 | C3
C3 | C5 | C5 | C3 | C4 | C4
C4 | C4 | C4 | C4 | C3 | C4
C5 | C4 | C4 | C5 | C3 | C4
C5 | C3 | C3 | C3 | C4 | C4
C3 | C3 | C5 | C4 | C4 | C4
C3 | C3 | C3 | C4 | C3 | C4
C4 | C3 | C4 | C3 | C5 | C5
C4 | C4 | C4 | C5 | C4 | C3
C4 | C5 | C4 | C3 | C4 | C4
C3 | C4 | C5 | C3 | C4 | C5
