2025-06-30 21:32:04,477 - FBDWarehouse - INFO - FBD Warehouse logging initialized - Log file: fbd_comm/warehouse.log
2025-06-30 21:32:04,477 - FBDWarehouse - INFO - Warehouse initialized with 36 FBD blocks
2025-06-30 21:32:04,477 - FBDWarehouse - INFO - Initializing warehouse from template model with 122 parameters
2025-06-30 21:32:04,478 - FBDWarehouse - INFO - Initialized block AFA79 (color: M0, part: in_layer) with 6 parameters
2025-06-30 21:32:04,478 - FBDWarehouse - INFO - Initialized block BFF56 (color: M0, part: layer1) with 24 parameters
2025-06-30 21:32:04,478 - FBDWarehouse - INFO - Initialized block CAA77 (color: M0, part: layer2) with 30 parameters
2025-06-30 21:32:04,478 - FBDWarehouse - INFO - Initialized block DSC60 (color: M0, part: layer3) with 30 parameters
2025-06-30 21:32:04,480 - FBDWarehouse - INFO - Initialized block EJJ91 (color: M0, part: layer4) with 30 parameters
2025-06-30 21:32:04,480 - FBDWarehouse - INFO - Initialized block FXR03 (color: M0, part: out_layer) with 2 parameters
2025-06-30 21:32:04,480 - FBDWarehouse - INFO - Initialized block AKY64 (color: M1, part: in_layer) with 6 parameters
2025-06-30 21:32:04,480 - FBDWarehouse - INFO - Initialized block BVD88 (color: M1, part: layer1) with 24 parameters
2025-06-30 21:32:04,480 - FBDWarehouse - INFO - Initialized block CGV29 (color: M1, part: layer2) with 30 parameters
2025-06-30 21:32:04,480 - FBDWarehouse - INFO - Initialized block DQM27 (color: M1, part: layer3) with 30 parameters
2025-06-30 21:32:04,482 - FBDWarehouse - INFO - Initialized block EVZ66 (color: M1, part: layer4) with 30 parameters
2025-06-30 21:32:04,482 - FBDWarehouse - INFO - Initialized block FPC91 (color: M1, part: out_layer) with 2 parameters
2025-06-30 21:32:04,482 - FBDWarehouse - INFO - Initialized block ALT34 (color: M2, part: in_layer) with 6 parameters
2025-06-30 21:32:04,482 - FBDWarehouse - INFO - Initialized block BVP97 (color: M2, part: layer1) with 24 parameters
2025-06-30 21:32:04,482 - FBDWarehouse - INFO - Initialized block CNF57 (color: M2, part: layer2) with 30 parameters
2025-06-30 21:32:04,483 - FBDWarehouse - INFO - Initialized block DWJ41 (color: M2, part: layer3) with 30 parameters
